name,brand name,ram,storage,battery,camera 1,camera 2,screen,resolution w,resolution h,thickness,os,color,price
Samsung Galaxy Note5 Duos,Samsung,4,64,3000,16,5,5.7,1440,2560,7.6,Android,black_white_silver_gold,600 EUR
Samsung Galaxy S6 edge+ (USA),Samsung,4,64,3000,16,5,5.7,1440,2560,6.9,Android,black_gold,550 EUR
Samsung Galaxy S6 edge+,Samsung,4,64,3000,16,5,5.7,1440,2560,6.9,Android,black_white_silver_gold_pink,530 EUR
Samsung Galaxy A8 Duos,Samsung,2,32,3050,16,5,5.7,1080,1920,5.9,Android,black_white_gold,380 EUR
Samsung Galaxy A8,Samsung,2,32,3050,16,5,5.7,1080,1920,5.9,Android,black_white_gold,350 EUR
Samsung Galaxy J7 Nxt,Samsung,2,16,3000,13,5,5.5,720,1280,7.6,Android,black_gold,180 EUR
Samsung Galaxy Tab A 9.7 & S Pen,Samsung,2,16,6000,5,2,9.7,768,1024,7.5,Android,black_white_gray,340 EUR
Samsung Galaxy E7,Samsung,2,16,2950,13,5,5.5,720,1280,7.3,Android,black_white_blue,230 EUR
Samsung Galaxy A5 Duos,Samsung,2,16,2300,13,5,5,720,1280,6.7,Android,black_white_silver_gold_blue_pink,290 EUR
Samsung Galaxy A5,Samsung,2,16,2300,13,5,5,720,1280,6.7,Android,black_white_silver_gold_blue_pink,260 EUR
Samsung Galaxy S5 Plus,Samsung,2,32,2800,16,2,5.1,1080,1920,8.1,Android,black_white_gold_blue,380 EUR
Samsung Galaxy Alpha (S801),Samsung,2,32,1860,12,2.1,4.7,720,1280,6.7,Android,black_white_silver_gold_blue,450 EUR
Samsung Galaxy Alpha,Samsung,2,32,1860,12,2.1,4.7,720,1280,6.7,Android,black_white_silver_gold_blue,390 EUR
Samsung Galaxy S5 Sport,Samsung,2,16,2800,16,2,5.1,1080,1920,8.9,Android,blue_red,500 EUR
Samsung Z,Samsung,2,16,2600,8,2.1,4.8,720,1280,8.5,Tizen,black,0
Samsung Galaxy S5 Active,Samsung,2,16,2800,16,2,5.1,1080,1920,8.9,Android,red,530 EUR
Samsung ATIV SE,Samsung,2,16,2600,13,2,5,1080,1920,8.4,Microsoft,gray,440 EUR
Samsung Galaxy S5 Duos,Samsung,2,16,2800,16,2,5.1,1080,1920,8.1,Android,black_white_gold_blue,420 EUR
Samsung Galaxy S5 (octa-core),Samsung,2,32,2800,16,2,5.1,1080,1920,8.1,Android,black_white_gold_blue,380 EUR
Samsung Galaxy S5 (USA),Samsung,2,16,2800,16,2,5.1,1080,1920,7.9,Android,black_white,480 EUR
Samsung Galaxy Note 3 Neo,Samsung,2,16,3100,8,2,5.5,720,1280,8.6,Android,black_white_pink_red,320 EUR
Samsung Galaxy Tab Pro 10.1 LTE,Samsung,2,32,8220,8,2,10.1,2560,1600,7.3,Android,black_white,420 EUR
Samsung Galaxy Tab Pro 8.4,Samsung,2,32,4800,8,2,8.4,1600,2560,7.2,Android,black_white,290 EUR
Samsung Galaxy S4 Active LTE-A,Samsung,2,32,2600,13,2,5,1080,1920,9.1,Android,blue_pink,410 EUR
Samsung I9505 Galaxy S4,Samsung,2,64,2600,13,2,5,1080,1920,7.9,Android,black_white_blue_pink_red,330 EUR
Samsung I9500 Galaxy S4,Samsung,2,64,2600,13,2,5,1080,1920,7.9,Android,black_white_blue,320 EUR
Samsung Galaxy Note LTE 10.1 N8020,Samsung,2,64,7000,5,1.9,10.1,800,1280,8.9,Android,white_gray,390 EUR
Samsung Google Nexus 10 P8110,Samsung,2,32,9000,5,1.9,10.1,2560,1600,8.9,Android,black,260 EUR
Samsung Galaxy Note II CDMA,Samsung,2,16,3100,8,1.9,5.5,720,1280,9.4,Android,white_gray,350 EUR
Samsung Galaxy Note 10.1 N8000,Samsung,2,64,7000,5,1.9,10.1,800,1280,8.9,Android,black_white_silver,320 EUR
Samsung Galaxy Note 10.1 N8010,Samsung,2,64,7000,5,1.9,10.1,800,1280,8.9,Android,black_white_silver,350 EUR
Samsung Galaxy S III T999,Samsung,2,32,2100,8,1.9,4.8,720,1280,8.6,Android,white_blue,310 EUR
